sku,description,category,brand,size,material,thread,length,uom,pack_qty,unit_price,status,replaced_by
HHCS-1/4-20x3/4-SS,"Hex Cap Screw 1/4""-20 x 3/4"" 18-8 Stainless",hex_cap_screw,Torqline,1/4,SS,20,3/4,EA,1,0.69,active,
HHCS-1/4-20x3/4-ZP,"Hex Cap Screw 1/4""-20 x 3/4"" Zinc Plated",hex_cap_screw,Torqline,1/4,ZP,20,3/4,EA,1,0.24,active,
HHCS-1/4-20x3/4-PL,"Hex Cap Screw 1/4""-20 x 3/4"" Plain Steel",hex_cap_screw,Torqline,1/4,PL,20,3/4,EA,1,0.23,active,
HHCS-1/4-20x1-SS,"Hex Cap Screw 1/4""-20 x 1"" 18-8 Stainless",hex_cap_screw,Torqline,1/4,SS,20,1,EA,1,0.74,active,
HHCS-1/4-20x1-ZP,"Hex Cap Screw 1/4""-20 x 1"" Zinc Plated",hex_cap_screw,Torqline,1/4,ZP,20,1,EA,1,0.29,active,
HHCS-1/4-20x1-PL,"Hex Cap Screw 1/4""-20 x 1"" Plain Steel",hex_cap_screw,Torqline,1/4,PL,20,1,EA,1,0.24,active,
HHCS-1/4-20x1-1/4-SS,"Hex Cap Screw 1/4""-20 x 1-1/4"" 18-8 Stainless",hex_cap_screw,Torqline,1/4,SS,20,1-1/4,EA,1,0.80,active,
HHCS-1/4-20x1-1/4-ZP,"Hex Cap Screw 1/4""-20 x 1-1/4"" Zinc Plated",hex_cap_screw,Torqline,1/4,ZP,20,1-1/4,EA,1,0.33,active,
HHCS-1/4-20x1-1/4-PL,"Hex Cap Screw 1/4""-20 x 1-1/4"" Plain Steel",hex_cap_screw,Torqline,1/4,PL,20,1-1/4,EA,1,0.25,active,
HHCS-1/4-20x1-1/2-SS,"Hex Cap Screw 1/4""-20X1-1/2"" 18-8 Stainless",hex_cap_screw,Torqline,1/4,SS,20,1-1/2,EA,1,0.82,active,
HHCS-1/4-20x1-1/2-ZP,"Hex Cap Screw 1/4""-20 x 1-1/2"" Zinc Plated",hex_cap_screw,Torqline,1/4,ZP,20,1-1/2,EA,1,0.36,active,
HHCS-1/4-20x1-1/2-PL,"Hex Cap Screw 1/4""-20 x 1-1/2"" Plain Steel",hex_cap_screw,Torqline,1/4,PL,20,1-1/2,EA,1,0.26,active,
HHCS-1/4-20x2-SS,"Hex Cap Screw 1/4""-20 x 2"" 18-8 Stainless",hex_cap_screw,Torqline,1/4,SS,20,2,EA,1,0.92,active,
HHCS-1/4-20x2-ZP,"Hex Cap Screw 1/4""-20 x 2"" Zinc Plated",hex_cap_screw,Torqline,1/4,ZP,20,2,EA,1,0.43,active,
HHCS-1/4-20x2-PL,"Hex Cap Screw 1/4""-20 x 2"" Plain Steel",hex_cap_screw,Torqline,1/4,PL,20,2,EA,1,0.31,active,
HHCS-1/4-20x2-1/2-SS,"Hex Cap Screw 1/4""-20 x 2-1/2"" 18-8 Stainless",hex_cap_screw,Torqline,1/4,SS,20,2-1/2,EA,1,1.22,active,
